Date,Open,High,Low,Close,Adj Close,Volume
10/14/2014,100.389999,100.519997,98.57,98.75,93.410141,63688600
10/15/2014,97.970001,99.150002,95.18,97.540001,92.265572,100933600
10/16/2014,95.550003,97.720001,95.410004,96.260002,91.054794,72154500
10/17/2014,97.5,99,96.809998,97.669998,92.388535,68179700
10/20/2014,98.32,99.959999,98.220001,99.760002,94.365532,77517300
10/21/2014,103.019997,103.019997,101.269997,102.470001,96.92897,94623900
10/22/2014,102.839996,104.110001,102.599998,102.989998,97.420868,68263100
10/23/2014,104.080002,105.050003,103.629997,104.830002,99.161377,71074700
10/24/2014,105.18,105.489998,104.529999,105.220001,99.530258,47053900
10/27/2014,104.849998,105.480003,104.699997,105.110001,99.426224,34187700
10/28/2014,105.400002,106.739998,105.349998,106.739998,100.968079,48060900
10/29/2014,106.650002,107.370003,106.360001,107.339996,101.535629,52687900
10/30/2014,106.959999,107.349998,105.900002,106.980003,101.195114,40654800
10/31/2014,108.010002,108.040001,107.209999,108,102.15995,44639300
11/3/2014,108.220001,110.300003,108.010002,109.400002,103.484245,52282600
11/4/2014,109.360001,109.489998,107.720001,108.599998,102.727509,41574400
11/5/2014,109.099998,109.300003,108.129997,108.860001,102.97345,37435900
11/6/2014,108.599998,108.790001,107.800003,108.699997,103.267952,34968500
11/7/2014,108.75,109.32,108.550003,109.010002,103.562462,33691500
11/10/2014,109.019997,109.330002,108.669998,108.830002,103.391457,27195500
11/11/2014,108.699997,109.75,108.400002,109.699997,104.217972,27442300
11/12/2014,109.379997,111.43,109.370003,111.25,105.690521,46942400
11/13/2014,111.800003,113.449997,111.599998,112.82,107.182076,59522900
11/14/2014,113.150002,114.190002,111.209999,114.18,108.474121,44063600
11/17/2014,114.269997,117.279999,113.300003,113.989998,108.293594,46746700
11/18/2014,113.940002,115.690002,113.889999,115.470001,109.699631,44224000
11/19/2014,115.440002,115.739998,113.800003,114.669998,108.939629,41869200
11/20/2014,114.910004,116.860001,114.849998,116.309998,110.497665,43395500
11/21/2014,117.510002,117.57,116.029999,116.470001,110.649666,57179300
11/24/2014,116.849998,118.769997,116.620003,118.629997,112.701721,47450800
11/25/2014,119.07,119.75,117.449997,117.599998,111.72319,68840400
11/26/2014,117.940002,119.099998,117.830002,119,113.053238,40768300
11/28/2014,119.269997,119.400002,118.050003,118.93,112.986725,24814400
12/1/2014,118.809998,119.25,111.269997,115.07,109.319611,83814000
12/2/2014,113.5,115.75,112.75,114.629997,108.901619,59348900
12/3/2014,115.75,116.349998,115.110001,115.93,110.136658,43063400
12/4/2014,115.769997,117.199997,115.290001,115.489998,109.718643,42044500
12/5/2014,115.989998,116.080002,114.639999,115,109.253128,38318900
12/8/2014,114.099998,114.650002,111.620003,112.400002,106.783058,57664900
12/9/2014,110.190002,114.300003,109.349998,114.120003,108.417107,60208000
12/10/2014,114.410004,114.849998,111.540001,111.949997,106.355537,44565300
12/11/2014,112.260002,113.800003,111.339996,111.620003,106.042046,41401700
12/12/2014,110.459999,111.870003,109.580002,109.730003,104.24649,56028100
12/15/2014,110.699997,111.599998,106.349998,108.230003,102.821449,67218100
12/16/2014,106.370003,110.160004,106.260002,106.75,101.415398,60790700
12/17/2014,107.120003,109.839996,106.82,109.410004,103.942474,53411800
12/18/2014,111.870003,112.650002,110.660004,112.650002,107.020561,59006200
12/19/2014,112.260002,113.239998,111.660004,111.779999,106.194031,88429800
12/22/2014,112.160004,113.489998,111.970001,112.940002,107.296066,45167500
12/23/2014,113.230003,113.330002,112.459999,112.540001,106.916069,26028400
12/24/2014,112.580002,112.709999,112.010002,112.010002,106.412552,14479600
12/26/2014,112.099998,114.519997,112.010002,113.989998,108.293594,33721000
12/29/2014,113.790001,114.769997,113.699997,113.910004,108.217598,27598900
12/30/2014,113.639999,113.919998,112.110001,112.519997,106.897041,29881500
12/31/2014,112.82,113.129997,110.209999,110.379997,104.863991,41403400
1/2/2015,111.389999,111.440002,107.349998,109.330002,103.86647,53204600
1/5/2015,108.290001,108.650002,105.410004,106.25,100.940392,64285500
1/6/2015,106.540001,107.43,104.629997,106.260002,100.94989,65797100
1/7/2015,107.199997,108.199997,106.699997,107.75,102.36544,40105900
1/8/2015,109.230003,112.150002,108.699997,111.889999,106.298531,59364500
1/9/2015,112.669998,113.25,110.209999,112.010002,106.412552,53699500
1/12/2015,112.599998,112.629997,108.800003,109.25,103.790474,49650800
1/13/2015,111.43,112.800003,108.910004,110.220001,104.711998,67091900
1/14/2015,109.040001,110.489998,108.5,109.800003,104.312988,48337000
1/15/2015,110,110.059998,106.660004,106.82,101.481903,60014000
1/16/2015,107.029999,107.580002,105.199997,105.989998,100.693382,78513300
1/20/2015,107.839996,108.970001,106.5,108.720001,103.286957,49899900
1/21/2015,108.949997,111.059998,108.269997,109.550003,104.075485,48575900
1/22/2015,110.260002,112.470001,109.720001,112.400002,106.783058,53796400
1/23/2015,112.300003,113.75,111.529999,112.980003,107.334084,46464800
1/26/2015,113.739998,114.360001,112.800003,113.099998,107.448074,55615000
1/27/2015,112.419998,112.480003,109.029999,109.139999,103.685966,95568700
1/28/2015,117.629997,118.120003,115.309998,115.309998,109.547638,146477100
1/29/2015,116.32,119.190002,115.559998,118.900002,112.958244,84436400
1/30/2015,118.400002,120,116.849998,117.160004,111.305183,83745500
2/2/2015,118.050003,119.169998,116.080002,118.629997,112.701721,62739100
2/3/2015,118.5,119.089996,117.610001,118.650002,112.720718,51915700
2/4/2015,118.5,120.510002,118.309998,119.559998,113.585258,70149700
2/5/2015,120.019997,120.230003,119.25,119.940002,114.395966,42246200
2/6/2015,120.019997,120.25,118.449997,118.93,113.43264,43706600
2/9/2015,118.550003,119.839996,118.43,119.720001,114.186127,38889800
2/10/2015,120.169998,122.150002,120.160004,122.019997,116.379814,62008500
2/11/2015,122.769997,124.919998,122.5,124.879997,119.107613,73561800
2/12/2015,126.059998,127.480003,125.57,126.459999,120.614594,74474500
2/13/2015,127.279999,127.279999,125.650002,127.080002,121.205933,54272200
2/17/2015,127.489998,128.880005,126.919998,127.830002,121.921249,63152400
2/18/2015,127.629997,128.779999,127.449997,128.720001,122.770134,44891700
2/19/2015,128.479996,129.029999,128.330002,128.449997,122.512596,37362400
2/20/2015,128.619995,129.5,128.050003,129.5,123.514084,48948400
2/23/2015,130.020004,133,129.660004,133,126.85228,70974100
2/24/2015,132.940002,133.600006,131.169998,132.169998,126.060654,69228100
2/25/2015,131.559998,131.600006,128.149994,128.789993,122.836899,74711700
2/26/2015,128.789993,130.869995,126.610001,130.419998,124.391541,91287500
2/27/2015,130,130.570007,128.240005,128.460007,122.522156,62014800
3/2/2015,129.25,130.279999,128.300003,129.089996,123.123016,48096700
3/3/2015,128.960007,129.520004,128.089996,129.360001,123.380539,37816300
3/4/2015,129.100006,129.559998,128.320007,128.539993,122.598434,31666300
3/5/2015,128.580002,128.75,125.760002,126.410004,120.56691,56517100
3/6/2015,128.399994,129.369995,126.260002,126.599998,120.748108,72842100
3/9/2015,127.959999,129.570007,125.059998,127.139999,121.263153,88528500
3/10/2015,126.410004,127.220001,123.800003,124.510002,118.754723,68856600
