Date,Open,High,Low,Close,Volume,Ci1,Ci2,Ci3,Ci4,Ci5,Ci6,Ci7
2016-05-13,35.73199844,35.96250153,35.32550049,35.49599838,95268000,,2.0,1.0,2.0,3.0,2.0,
2016-05-16,35.50650024,35.66249847,35.01399994,35.53300095,108658000,1.0,1.0,4.0,4.0,4.0,1.0,1.0
2016-05-17,35.49499893,35.7234993,34.69549942,34.76350021,102428000,,2.0,3.0,2.0,1.0,2.0,
2016-05-18,34.47800064,35.1269989,34.43799973,34.87250137,85664000,,4.0,4.0,3.0,3.0,3.0,3.0
2016-05-19,34.59400177,34.97000122,34.47800064,34.92599869,60512000,,8.0,4.0,,4.0,6.0,4.0
2016-05-20,35.05250168,35.36199951,35.0,35.13999939,58324000,14.0,11.0,,10.0,9.0,10.0,4.0
2016-05-23,35.21250153,35.29999924,34.82099915,34.83750153,51902000,,,4.0,,4.0,,
2016-05-24,34.90050125,35.375,34.90000153,35.20999908,60676000,4.0,10.0,9.0,10.0,,11.0,14.0
2016-05-25,35.40000153,35.54299927,35.27600098,35.41749954,65354000,5.0,8.0,5.0,,5.0,8.0,5.0
2016-05-26,35.41650009,35.75,35.36449814,35.74549866,48934000,12.0,9.0,,8.0,9.0,8.0,6.0
2016-05-27,35.75,35.83000183,35.55500031,35.61199951,44984000,,,5.0,,2.0,3.0,
2016-05-31,35.61650085,36.21149826,35.56600189,36.13949966,72366000,4.0,8.0,9.0,8.0,4.0,9.0,12.0
2016-06-01,36.04499817,36.32149887,35.9109993,35.97200012,65262000,,6.0,3.0,,3.0,6.0,
2016-06-02,36.04850006,36.41400146,35.77500153,36.41199875,60532000,4.0,4.0,6.0,4.0,6.0,4.0,4.0
2016-06-03,36.3370018,36.34999847,35.92150116,36.27700043,67346000,,6.0,3.0,,3.0,6.0,
2016-06-06,36.32500076,36.57500076,36.22100067,36.33649826,54096000,4.0,4.0,6.0,4.0,6.0,4.0,4.0
2016-06-07,36.49449921,36.5,36.02750015,36.18700027,54650000,,6.0,3.0,,3.0,6.0,
2016-06-08,36.31999969,36.47100067,36.08000183,36.33200073,44468000,6.0,6.0,4.0,5.0,6.0,5.0,6.0
2016-06-09,36.15499878,36.44549942,36.11500168,36.38249969,43406000,,4.0,6.0,,7.0,3.0,4.0
2016-06-10,36.11750031,36.24900055,35.71049881,35.89550018,68514000,3.0,7.0,,7.0,3.0,6.0,
2016-06-13,35.70050049,36.09949875,35.55799866,35.76200104,67044000,,6.0,3.0,4.0,3.0,5.0,5.0
2016-06-14,35.61650085,36.04050064,35.61349869,35.96500015,50138000,12.0,4.0,12.0,4.0,8.0,8.0,8.0
2016-06-15,36.09999847,36.12799835,35.66749954,35.71300125,54188000,,7.0,,2.0,2.0,3.0,
2016-06-16,35.60250092,35.90000153,35.26499939,35.87549973,61960000,,4.0,6.0,6.0,,8.0,8.0
2016-06-17,35.90950012,35.90999985,34.95899963,35.31949997,117956000,3.0,8.0,8.0,,7.0,12.0,
2016-06-20,35.67499924,36.06549835,35.54050064,35.70050049,73544000,4.0,4.0,6.0,4.0,6.0,4.0,4.0
2016-06-21,35.7859993,35.91999817,35.63600159,35.79100037,42750000,,9.0,5.0,,6.0,8.0,4.0
2016-06-22,35.82899857,35.84999847,35.37850189,35.52999878,45210000,6.0,6.0,,6.0,6.0,6.0,
2016-06-23,35.77500153,36.10599899,35.625,36.10400009,56500000,,4.0,6.0,3.0,3.0,7.0,3.0
2016-06-24,34.65000153,35.62649918,34.61000061,34.94800186,152650000,3.0,7.0,3.0,3.0,6.0,4.0,
2016-06-27,34.6004982,34.8409996,34.10599899,34.56800079,111360000,,6.0,4.0,4.0,,5.0,5.0
2016-06-28,35.0,35.40000153,34.90850067,35.39749908,80740000,7.0,12.0,7.0,,8.0,8.0,8.0
2016-06-29,35.78749847,35.97499847,35.67699814,35.77999878,61402000,10.0,10.0,,6.0,8.0,6.0,8.0
2016-06-30,35.86000061,35.96849823,35.6269989,35.78099823,57102000,,,3.0,8.0,3.0,6.0,8.0
2016-07-01,35.86600113,36.40000153,35.82699966,36.2840004,58408000,,12.0,16.0,12.0,8.0,16.0,16.0
